RowNumber,variable,label
193,gg_2021_bog-count_f_2_2000,Count of bowling greens within street network based distance of 2000m.
194,gg_2021_bog-count-2ha_f_2_300,Count of bowling greens of at least 2 hectar within street network based distance of 300m.
195,gg_2021_bog-count-20ha_f_2_2000,Count of bowling greens of at least 20 hectar within street network based distance of 2000m.
196,gg_2021_bog-count-100ha_f_2_5000,Count of bowling greens of at least 100 hectar within street network based distance of 5000m.
197,gg_2021_bog-distance_f_2_mean,Average distance to all bowling greens.
198,gg_2021_bog-closest_d_2,Distance to the closest bowling green.
199,gg_2021_cem-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of cemeteries.
200,gg_2021_cem-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of cemeteries.
201,gg_2021_cem-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of cemeteries.
202,gg_2021_cem-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of cemeteries.
203,gg_2021_cem-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of cemeteries.
204,gg_2021_cem-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of cemeteries.
205,gg_2021_cem-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of cemeteries.
206,gg_2021_cem-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of cemeteries.
207,gg_2021_cem-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of cemeteries.
208,gg_2021_cem-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of cemeteries.
209,gg_2021_cem-count_f_2_300,Count of cemeteries within street network based distance of 300m.
210,gg_2021_cem-count_f_2_500,Count of cemeteries within street network based distance of 500m.
211,gg_2021_cem-count_f_2_1000,Count of cemeteries within street network based distance of 1000m.
212,gg_2021_cem-count_f_2_2000,Count of cemeteries within street network based distance of 2000m.
213,gg_2021_cem-count-2ha_f_2_300,Count of cemeteries of at least 2 hectar within street network based distance of 300m.
214,gg_2021_cem-count-20ha_f_2_2000,Count of cemeteries of at least 20 hectar within street network based distance of 2000m.
215,gg_2021_cem-count-100ha_f_2_5000,Count of cemeteries of at least 100 hectar within street network based distance of 5000m.
216,gg_2021_cem-distance_f_2_mean,Average distance to all cemeteries.
217,gg_2021_cem-closest_d_2,Distance to the closest cemetery.
218,gg_2021_gco-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of golf courses.
219,gg_2021_gco-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of golf courses.
220,gg_2021_gco-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of golf courses.
221,gg_2021_gco-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of golf courses.
222,gg_2021_gco-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of golf courses.
223,gg_2021_gco-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of golf courses.
224,gg_2021_gco-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of golf courses.
225,gg_2021_gco-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of golf courses.
226,gg_2021_gco-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of golf courses.
227,gg_2021_gco-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of golf courses.
228,gg_2021_gco-count_f_2_300,Count of golf courses within street network based distance of 300m.
229,gg_2021_gco-count_f_2_500,Count of golf courses within street network based distance of 500m.
230,gg_2021_gco-count_f_2_1000,Count of golf courses within street network based distance of 1000m.
231,gg_2021_gco-count_f_2_2000,Count of golf courses within street network based distance of 2000m.
232,gg_2021_gco-count-2ha_f_2_300,Count of golf courses of at least 2 hectar within street network based distance of 300m.
233,gg_2021_gco-count-20ha_f_2_2000,Count of golf courses of at least 20 hectar within street network based distance of 2000m.
234,gg_2021_gco-count-100ha_f_2_5000,Count of golf courses of at least 100 hectar within street network based distance of 5000m.
235,gg_2021_gco-distance_f_2_mean,Average distance to all golf courses.
236,gg_2021_gco-closest_d_2,Distance to the closest golf course.
237,gg_2020_ndvi_g_1_100_mean,"Average normalised difference vegetation index (NDVI) within 100m circular buffer around the home address, using 2020 sattelite data from the United States Geological Survey."
238,gg_2020_ndvi_g_1_300_mean,"Average normalised difference vegetation index (NDVI) within 300m circular buffer around the home address, using 2020 sattelite data from the United States Geological Survey."
239,gg_2020_ndvi_g_1_500_mean,"Average normalised difference vegetation index (NDVI) within 500m circular buffer around the home address, using 2020 sattelite data from the United States Geological Survey."
240,gg_2020_ndvi_g_1_1000_mean,"Average normalised difference vegetation index (NDVI) within 1000m circular buffer around the home address, using 2020 sattelite data from the United States Geological Survey."
241,gg_2020_ndvi_g_1_1500_mean,"Average normalised difference vegetation index (NDVI) within 1500m circular buffer around the home address, using 2020 sattelite data from the United States Geological Survey."
242,gg_2020_ndvi_g_1_2000_mean,"Average normalised difference vegetation index (NDVI) within 2000m circular buffer around the home address, using 2020 sattelite data from the United States Geological Survey."
243,gg_2020_ndvi_i_2_100_mean,"Average normalised difference vegetation index (NDVI) within 100m street network based catchment area around the home address, using 2020 sattelite data from the United States Geological Survey."
244,gg_2020_ndvi_i_2_300_mean,"Average normalised difference vegetation index (NDVI) within 300m street network based catchment area around the home address, using 2020 sattelite data from the United States Geological Survey."
245,gg_2020_ndvi_i_2_500_mean,"Average normalised difference vegetation index (NDVI) within 500m street network based catchment area around the home address, using 2020 sattelite data from the United States Geological Survey."
246,gg_2020_ndvi_i_2_1000_mean,"Average normalised difference vegetation index (NDVI) within 1000m street network based catchment area around the home address, using 2020 sattelite data from the United States Geological Survey."
247,gg_2021_osf-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of other sports facilities.
248,gg_2021_osf-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of other sports facilities.
249,gg_2021_osf-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of other sports facilities.
250,gg_2021_osf-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of other sports facilities.
251,gg_2021_osf-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of other sports facilities.
252,gg_2021_osf-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of other sports facilities.
253,gg_2021_osf-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of other sports facilities.
254,gg_2021_osf-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of other sports facilities.
255,gg_2021_osf-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of other sports facilities.
256,gg_2021_osf-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of other sports facilities.
257,gg_2021_osf-count_f_2_300,Count of other sports facilities within street network based distance of 300m.
258,gg_2021_osf-count_f_2_500,Count of other sports facilities within street network based distance of 500m.
259,gg_2021_osf-count_f_2_1000,Count of other sports facilities within street network based distance of 1000m.
260,gg_2021_osf-count_f_2_2000,Count of other sports facilities within street network based distance of 2000m.
261,gg_2021_osf-count-2ha_f_2_300,Count of other sports facilities of at least 2 hectar within street network based distance of 300m.
262,gg_2021_osf-count-20ha_f_2_2000,Count of other sports facilities of at least 20 hectar within street network based distance of 2000m.
263,gg_2021_osf-count-100ha_f_2_5000,Count of other sports facilities of at least 100 hectar within street network based distance of 5000m.
264,gg_2021_osf-distance_f_2_mean,Average distance to all other sports facilities.
265,gg_2021_osf-closest_d_2,Distance to the closest other sports facility.
266,gg_2021_pfi-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of playing fields.
267,gg_2021_pfi-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of playing fields.
268,gg_2021_pfi-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of playing fields.
269,gg_2021_pfi-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of playing fields.
270,gg_2021_pfi-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of playing fields.
271,gg_2021_pfi-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of playing fields.
272,gg_2021_pfi-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of playing fields.
273,gg_2021_pfi-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of playing fields.
274,gg_2021_pfi-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of playing fields.
275,gg_2021_pfi-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of playing fields.
276,gg_2021_pfi-count_f_2_300,Count of playing fields within street network based distance of 300m.
277,gg_2021_pfi-count_f_2_500,Count of playing fields within street network based distance of 500m.
278,gg_2021_pfi-count_f_2_1000,Count of playing fields within street network based distance of 1000m.
279,gg_2021_pfi-count_f_2_2000,Count of playing fields within street network based distance of 2000m.
280,gg_2021_pfi-count-2ha_f_2_300,Count of playing fields of at least 2 hectar within street network based distance of 300m.
281,gg_2021_pfi-count-20ha_f_2_2000,Count of playing fields of at least 20 hectar within street network based distance of 2000m.
282,gg_2021_pfi-count-100ha_f_2_5000,Count of playing fields of at least 100 hectar within street network based distance of 5000m.
283,gg_2021_pfi-distance_f_2_mean,Average distance to all playing fields.
284,gg_2021_pfi-closest_d_2,Distance to the closest playing field.
285,gg_2021_ppg-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of public parks or gardens.
286,gg_2021_ppg-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of public parks or gardens.
287,gg_2021_ppg-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of public parks or gardens.
288,gg_2021_ppg-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of public parks or gardens.
289,gg_2021_ppg-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of public parks or gardens.
290,gg_2021_ppg-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of public parks or gardens.
291,gg_2021_ppg-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of public parks or gardens.
292,gg_2021_ppg-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of public parks or gardens.
293,gg_2021_ppg-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of public parks or gardens.
294,gg_2021_ppg-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of public parks or gardens.
295,gg_2021_ppg-count_f_2_300,Count of public parks or gardens within street network based distance of 300m.
296,gg_2021_ppg-count_f_2_500,Count of public parks or gardens within street network based distance of 500m.
297,gg_2021_ppg-count_f_2_1000,Count of public parks or gardens within street network based distance of 1000m.
298,gg_2021_ppg-count_f_2_2000,Count of public parks or gardens within street network based distance of 2000m.
299,gg_2021_ppg-count-2ha_f_2_300,Count of public parks or gardens of at least 2 hectar within street network based distance of 300m.
300,gg_2021_ppg-count-20ha_f_2_2000,Count of public parks or gardens of at least 20 hectar within street network based distance of 2000m.
301,gg_2021_ppg-count-100ha_f_2_5000,Count of public parks or gardens of at least 100 hectar within street network based distance of 5000m.
302,gg_2021_ppg-distance_f_2_mean,Average distance to all public parks or gardens.
303,gg_2021_ppg-closest_d_2,Distance to the closest public park or garden.
305,gg_2021_psp-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of play spaces.
306,gg_2021_psp-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of play spaces.
307,gg_2021_psp-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of play spaces.
308,gg_2021_psp-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of play spaces.
309,gg_2021_psp-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of play spaces.
310,gg_2021_psp-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of play spaces.
311,gg_2021_psp-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of play spaces.
312,gg_2021_psp-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of play spaces.
313,gg_2021_psp-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of play spaces.
314,gg_2021_psp-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of play spaces.
315,gg_2021_psp-count_f_2_300,Count of play spaces within street network based distance of 300m.
316,gg_2021_psp-count_f_2_500,Count of play spaces within street network based distance of 500m.
317,gg_2021_psp-count_f_2_1000,Count of play spaces within street network based distance of 1000m.
318,gg_2021_psp-count_f_2_2000,Count of play spaces within street network based distance of 2000m.
319,gg_2021_psp-count-2ha_f_2_300,Count of play spaces of at least 2 hectar within street network based distance of 300m.
320,gg_2021_psp-count-20ha_f_2_2000,Count of play spaces of at least 20 hectar within street network based distance of 2000m.
321,gg_2021_psp-count-100ha_f_2_5000,Count of play spaces of at least 100 hectar within street network based distance of 5000m.
322,gg_2021_psp-distance_f_2_mean,Average distance to all play spaces.
323,gg_2021_psp-closest_d_2,Distance to the closest play space.
324,gg_2021_reg-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of religious grounds.
325,gg_2021_reg-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of religious grounds.
326,gg_2021_reg-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of religious grounds.
327,gg_2021_reg-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of religious grounds.
328,gg_2021_reg-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of religious grounds.
329,gg_2021_reg-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of religious grounds.
330,gg_2021_reg-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of religious grounds.
331,gg_2021_reg-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of religious grounds.
332,gg_2021_reg-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of religious grounds.
333,gg_2021_reg-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of religious grounds.
334,gg_2021_reg-count_f_2_300,Count of religious grounds within street network based distance of 300m.
335,gg_2021_reg-count_f_2_500,Count of religious grounds within street network based distance of 500m.
336,gg_2021_reg-count_f_2_1000,Count of religious grounds within street network based distance of 1000m.
337,gg_2021_reg-count_f_2_2000,Count of religious grounds within street network based distance of 2000m.
338,gg_2021_reg-count-2ha_f_2_300,Count of religious grounds of at least 2 hectar within street network based distance of 300m.
339,gg_2021_reg-count-20ha_f_2_2000,Count of religious grounds of at least 20 hectar within street network based distance of 2000m.
340,gg_2021_reg-count-100ha_f_2_5000,Count of religious grounds of at least 100 hectar within street network based distance of 5000m.
341,gg_2021_reg-distance_f_2_mean,Average distance to all religious grounds.
342,gg_2021_reg-closest_d_2,Distance to the closest religious ground.
343,gg_2021_tco-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of tennis courts.
344,gg_2021_tco-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of tennis courts.
345,gg_2021_tco-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of tennis courts.
346,gg_2021_tco-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of tennis courts.
347,gg_2021_tco-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of tennis courts.
348,gg_2021_tco-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of tennis courts.
349,gg_2021_tco-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of tennis courts.
350,gg_2021_tco-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of tennis courts.
351,gg_2021_tco-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of tennis courts.
352,gg_2021_tco-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of cemeteries.
353,gg_2021_tco-count_f_2_300,Count of tennis courts within street network based distance of 300m.
354,gg_2021_tco-count_f_2_500,Count of tennis courts within street network based distance of 500m.
355,gg_2021_tco-count_f_2_1000,Count of tennis courts within street network based distance of 1000m.
356,gg_2021_tco-count_f_2_2000,Count of tennis courts within street network based distance of 2000m.
357,gg_2021_tco-count-2ha_f_2_300,Count of tennis courts of at least 2 hectar within street network based distance of 300m.
358,gg_2021_tco-count-20ha_f_2_2000,Count of tennis courts of at least 20 hectar within street network based distance of 2000m.
359,gg_2021_tco-count-100ha_f_2_5000,Count of tennis courts of at least 100 hectar within street network based distance of 5000m.
360,gg_2021_tco-distance_f_2_mean,Average distance to all tennis courts.
361,gg_2021_tco-closest_d_2,Distance to the closest tennis court.
362,iq_2021_inspection-date,The date that the inspection was actually carried out by the energy assessor.
363,iq_2021_construction-age-band,Age band when building part constructed. England & Wales only. One of: before 1900; 1900-1929; 1930-1949; 1950-1966; 1967-1975; 1976-1982; 1983-1990; 1991-1995; 1996-2002; 2003-2006; 2007-2011; 2012 onwards.
364,iq_2021_built-form,"The building type of the property, e.g., Detached, Semi-Detached, Terrace, etc..Together with the Property Type, the Build Form produces a structured description of the property."
365,iq_2021_property-type,"Describes the type of property such as House, Flat, Maisonette etc. This is the type differentiator for dwellings.Â "
366,iq_2021_floor-level,"Floor level relative to the lowest level of the property (0 for ground floor). If there is a basement, the basement is level 0 and the other floors are from 1 upwards. Measure only availabe for flats and maisonettes."
367,iq_2021_flat-storey-count,The number of storeys in the apartment block.Â 
368,iq_2021_flat-top-storey,Whether the flat is on the top storey. Measure availabe for flats only.
369,iq_2021_total-floor-area,"The total useful floor area in square meter is the total of all enclosed spaces measured to the internal face of the external walls, i.e., the gross floor area as measured in accordance with the guidance issued from time to time by the Royal Institute of Chartered Surveyors or by a body replacing that institution."
370,iq_2021_floor-height,Average height of the storey in metres.Â 
371,iq_2021_number-heated-rooms,The number of heated rooms in the property if more than half of the habitable rooms are not heated.Â 
372,iq_2021_number-habitable-rooms,"Habitable rooms include any living room, sitting room, dining room, bedroom, study and similar; and also a non-separated conservatory. A kitchen/diner having a discrete seating area (with space for a table and four chairs) also counts as a habitable room. A non-separated conservatory adds to the habitable room count if it has an internal quality door between it and the dwelling. Excluded from the room count are any room used solely as a kitchen, utility room, bathroom, cloakroom, en-suite accommodation and similar and any hallway, stairs or landing; and also any room not having a window.Â "
373,iq_2021_extension-count,The number of extensions added to the property.
374,iq_2021_glazed-area,Ranged estimate of the total glazed area of the habitable area.
375,iq_2021_glazed-type,"The type of glazing, using British Fenestration Rating Council or manufacturer declaration."
376,iq_2021_energy-consumption-current,Current estimated total energy consumption for the property in a 12-month period in kilowatt hours per square metre (kWh/mÂ²).
377,iq_2021_energy-consumption-potential,Estimated potential total energy consumption for the property in a 12-month period in kilowatt hours per square metre (kWh/mÂ²).
378,iq_2021_hot-water-cost-current,Current estimated annual energy costs for hot water in GBP.
379,iq_2021_heating-cost-current,Current estimated annual energy costs for heating the property in GBP.
380,iq_2021_lighting-cost-current,Current estimated annual energy costs for lighting the property in GBP.
381,iq_2021_potential-energy-efficiency,The potential energy efficiency rating of the property.Â 
382,iq_2021_current-energy-efficiency,"Energy efficiency based on cost of energy, i.e. energy required for space heating, water heating and lighting (in kWh/year) multiplied by fuel costs. (Â£/mÂ²/year where cost is derived from kWh)."
383,iq_2021_potential-energy-rating,Estimated potential energy rating converted into a linear 'A to G' rating (where A is the most energy efficient and G is the least energy efficient).
384,iq_2021_current-energy-rating,Current energy rating converted into a linear 'A to G' rating (where A is the most energy efficient and G is the least energy efficient).
385,iq_2021_transaction-type,Type of transaction that triggered assessment.
386,iq_2021_tenure-type,Describes the tenure type of the property.
387,la_2019_land-use-intensity_g_1_100_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 100m circular buffer around the home address.
388,la_2019_land-use-intensity_g_1_300_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 300m circular buffer around the home address.
389,la_2019_land-use-intensity_g_1_500_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 500m circular buffer around the home address.
390,la_2019_land-use-intensity_g_1_1000_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 1000m circular buffer around the home address.
391,la_2019_land-use-intensity_g_1_1500_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 1500m circular buffer around the home address.
392,la_2019_land-use-intensity_g_1_2000_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 2000m circular buffer around the home address.
393,pt_2021_air-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of airports.
394,pt_2021_air-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of airports.
395,pt_2021_air-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of airports.
396,pt_2021_air-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of airports.
397,pt_2021_air-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of airports.
398,pt_2021_air-count_f_2_300,Count of airports within street network based distance of 300m.
399,pt_2021_air-count_f_2_500,Count of airports within street network based distance of 500m.
400,pt_2021_air-count_f_2_1000,Count of airports within street network based distance of 1000m.
401,pt_2021_air-count_f_2_2000,Count of airports within street network based distance of 2000m.
402,pt_2021_air-distance_f_2_mean,Average distance to all airports.
403,pt_2021_air-closest_d_2,Distance to the closest airport in meters.
404,pt_2021_bus-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of bus stops.
405,pt_2021_bus-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of bus stops.
406,pt_2021_bus-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of bus stops.
407,pt_2021_bus-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of bus stops.
408,pt_2021_bus-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of bus stops.
409,pt_2021_bus-count_f_2_300,Count of bus stops within street network based distance of 300m.
410,pt_2021_bus-count_f_2_500,Count of bus stops within street network based distance of 500m.
411,pt_2021_bus-count_f_2_1000,Count of bus stops within street network based distance of 1000m.
412,pt_2021_bus-count_f_2_2000,Count of bus stops within street network based distance of 2000m.
413,pt_2021_bus-distance_f_2_mean,Average distance to all bus stops.
414,pt_2021_bus-closest_d_2,Distance to the closest bus stop in meters.
415,pt_2021_coach-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of coach stops.
416,pt_2021_coach-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of coach stops.
417,pt_2021_coach-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of coach stops.
418,pt_2021_coach-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of coach stops.
419,pt_2021_coach-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of coach stops.
420,pt_2021_coach-count_f_2_300,Count of coach stops within street network based distance of 300m.
421,pt_2021_coach-count_f_2_500,Count of coach stops within street network based distance of 500m.
422,pt_2021_coach-count_f_2_1000,Count of coach stops within street network based distance of 1000m.
423,pt_2021_coach-count_f_2_2000,Count of coach stops within street network based distance of 2000m.
424,pt_2021_coach-distance_f_2_mean,Average distance to all coach stop.
425,pt_2021_coach-closest_d_2,Distance to the closest coach stop in meters.
426,pt_2021_metro-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of metro stations.
427,pt_2021_metro-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of metro stations.
428,pt_2021_metro-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of metro stations.
429,pt_2021_metro-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of metro stations.
430,pt_2021_metro-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of metro stations.
431,pt_2021_metro-count_f_2_300,Count of metro stations within street network based distance of 300m.
432,pt_2021_metro-count_f_2_500,Count of metro stations within street network based distance of 500m.
433,pt_2021_metro-count_f_2_1000,Count of metro stations within street network based distance of 1000m.
434,pt_2021_metro-count_f_2_2000,Count of metro stations within street network based distance of 2000m.
435,pt_2021_metro-distance_f_2_mean,Average distance to all metro stations.
436,pt_2021_metro-closest_d_2,Distance to the closest metro station in meters.
437,pt_2021_rail-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of rail stations.
438,pt_2021_rail-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of rail stations.
439,pt_2021_rail-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of rail stations.
440,pt_2021_rail-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of rail stations.
441,pt_2021_rail-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of airports.
442,pt_2021_rail-count_f_2_300,Count of rail stations within street network based distance of 300m.
443,pt_2021_rail-count_f_2_500,Count of rail stations within street network based distance of 500m.
444,pt_2021_rail-count_f_2_1000,Count of rail stations within street network based distance of 1000m.
445,pt_2021_rail-count_f_2_2000,Count of rail stations within street network based distance of 2000m.
446,pt_2021_rail-distance_f_2_mean,Average distance to all rail stations.
447,pt_2021_rail-closest_d_2,Distance to the closest rail station in meters.
448,tr_2019_am-count_f_2_300_mean,Average number of vehicles during morning period within street network based distance of 300m.
449,tr_2019_am-cong_f_2_300_mean,Average congestion during morning period within street network based distance of 300m.
450,tr_2019_ip-count_f_2_300_mean,Average number of vehicles during intermediate period within street network based distance of 300m.
451,tr_2019_ip-cong_f_2_300_mean,Average congestion of vehicles during intermediate period within street network based distance of 300m.
452,tr_2019_pm-count_f_2_300_mean,Average number of vehicles during evening period within street network based distance of 300m.
453,tr_2019_pm-cong_f_2_300_mean,Average congestion of vehicles during evening period within street network based distance of 300m.
454,tr_2019_am-count_f_2_300_max,Maximum number of vehicles during morning period within street network based distance of 300m.
455,tr_2019_am-cong_f_2_300_min,Minimum congestion during morning period within street network based distance of 300m.
456,tr_2019_ip-count_f_2_300_max,Maximum number of vehicles during intermediate period within street network based distance of 300m.
457,tr_2019_ip-cong_f_2_300_min,Minimum congestion during intermediate period within street network based distance of 300m.
458,tr_2019_pm-count_f_2_300_max,Maximum number of vehicles during evening period within street network based distance of 300m.
459,tr_2019_pm-cong_f_2_300_min,Minimum congestion during evening period within street network based distance of 300m.
460,tr_2019_am-count_f_2_100_mean,Average number of vehicles during morning period within street network based distance of 100m.
461,tr_2019_am-cong_f_2_100_mean,Average congestion during morning period within street network based distance of 100m.
462,tr_2019_ip-count_f_2_100_mean,Average number of vehicles during intermediate period within street network based distance of 100m.
463,tr_2019_ip-cong_f_2_100_mean,Average congestion of vehicles during intermediate period within street network based distance of 100m.
464,tr_2019_pm-count_f_2_100_mean,Average number of vehicles during evening period within street network based distance of 100m.
465,tr_2019_pm-cong_f_2_100_mean,Average congestion of vehicles during evening period within street network based distance of 100m.
466,tr_2019_am-count_f_2_100_max,Maximum number of vehicles during morning period within street network based distance of 100m.
467,tr_2019_am-cong_f_2_100_min,Minimum congestion during morning period within street network based distance of 100m.
468,tr_2019_ip-count_f_2_100_max,Maximum number of vehicles during intermediate period within street network based distance of 100m.
469,tr_2019_ip-cong_f_2_100_min,Minimum congestion during intermediate period within street network based distance of 100m.
470,tr_2019_pm-count_f_2_100_max,Maximum number of vehicles during evening period within street network based distance of 100m.
471,tr_2019_pm-cong_f_2_100_min,Minimum congestion during evening period within street network based distance of 100m.
472,tr_2019_am-count-closest_b_2,Count of vehicles during morning period at the residential street.
473,tr_2019_am-cong-closest_b_2,Congestion during morning period at the residential street.
474,tr_2019_ip-count-closest_b_2,Count of vehicles during intermediate period at the residential street.
475,tr_2019_ip-cong-closest_b_2,Congestion during intermediate period at the residential street.
476,tr_2019_pm-count-closest_b_2,Count of vehicles during evening period at the residential street.
477,tr_2019_pm-cong-closest_b_2,Congestion during evening period at the residential street.
478,sc_2021_betweenness_r500_f_3-2_300_max,Maximum value of angular betweenness centrality (radius 500m) within street network based distance of 300m.
479,sc_2021_betweenness_r1000_f_3-2_300_max,Maximum value of angular betweenness centrality (radius 1000m) within street network based distance of 300m.
